============================== SRIM-2012.03 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  N(1.02 MeV) ==> Layer 1(  1 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 2700  7 .1012811E+07   1000042E-02  .4431E+02  .1441E+02   .9999488  .0097093  .0028475
T 2701  7 .1016127E+07   1000547E-02  .1269E+02  .1550E+02   .9999716  .0044986  .0060442
T 2702  7 .1003844E+07   1000569E-02  .3888E+02  .2923E+02   .9999836  .0041308  .0039643
T 2703  7 .1015756E+07   1000729E-02  .1363E+02 -.8941E+01   .9999896  .0043615 -.0013535
T 2704  7 .1013910E+07   1000652E-02  .1263E+02 -.5113E+01   .9999976  .0008812 -.0019977
T 2705  7 .1015225E+07   1000617E-02 -.1046E+02  .1044E+02   .9999988 -.0014007 -.0006683
T 2706  7 .1010570E+07   1000077E-02 -.2971E+01 -.4785E+01   .9999993  .0001040 -.0012090
T 2707  7 .1011839E+07   1000768E-02  .5469E+02  .2118E+02   .9981921  .0591361  .0107467
T 2708  7 .1011254E+07   1000710E-02  .3792E+02  .5177E+02   .9999445  .0061588  .0085500
T 2709  7 .1006915E+07   1000258E-02 -.5221E+01 -.6518E+01   .9999957 -.0026998  .0011412
T 2710  7 .1013224E+07   1000359E-02 -.3538E+01  .3984E+01   .9999967 -.0008051  .0024269
T 2711  7 .1014434E+07   1000512E-02 -.1412E+02  .3353E+01   .9999873  .0021358 -.0045672
T 2712  7 .1011204E+07   1000445E-02  .7600E+01  .9924E+00   .9999958  .0025589  .0013594
T 2713  7 .1017459E+07   1000440E-02  .5598E+02 -.3060E+02   .9997158  .0230933 -.0059099
T 2714  7 .1006688E+07   1000617E-02 -.1531E+02  .4315E+02   .9999843 -.0009197  .0055186
T 2715  7 .1006328E+07   1000808E-02  .9170E+01 -.5910E+01   .9999951  .0031081 -.0003727
T 2716  7 .1016640E+07   1000307E-02  .1336E+02  .4595E+01   .9999966  .0018888  .0018098
T 2717  7 .1007599E+07   1000333E-02  .2729E+02  .1551E+01   .9999767  .0062410 -.0027683
T 2718  7 .1016264E+07   1000618E-02  .4532E+01  .1382E+01   .9999895  .0045395 -.0005644
T 2719  7 .1013028E+07   1000685E-02  .7849E+01 -.2183E+02   .9999928  .0009576 -.0036643
T 2720  7 .1013773E+07   1000233E-02  .8484E+01 -.1180E+02   .9999882 -.0045121 -.0017803
T 2721  7 .1012354E+07   1000727E-02 -.7903E+01  .1671E+02   .9999916 -.0007129  .0040339
T 2722  7 .1012610E+07   1000245E-02  .9904E+02 -.6976E+02   .9997993  .0172611 -.0101680
T 2723  7 .1009395E+07   1000393E-02  .2556E+02  .1584E+02   .9999794  .0024308  .0059403
T 2724  7 .1015463E+07   1000193E-02  .3605E+01 -.2986E+02   .9999796  .0010298 -.0063094
T 2725  7 .1013357E+07   1000769E-02 -.1014E+02 -.3560E+02   .9999714 -.0013317 -.0074416
T 2726  7 .1005969E+07   1000233E-02  .1331E+02  .2661E+01   .9999854 -.0012585  .0052535
T 2727  7 .1014920E+07   1000574E-02 -.1876E+01 -.1556E+02   .9999923  .0018633 -.0034425
T 2728  7 .1011461E+07   1000006E-02  .1630E+02 -.3133E+01   .9999936  .0033716  .0011701
T 2729  7 .1012096E+07   1000556E-02 -.6938E+01  .1982E+02   .9999860 -.0029847  .0043751
T 2730  7 .1012770E+07   1000212E-02 -.6936E+01 -.5881E+01   .9999947  .0031734  .0007265
T 2731  7 .1011115E+07   1000388E-02 -.1194E+02 -.1122E+01   .9999956 -.0018918  .0022900
T 2732  7 .1012155E+07   1000265E-02 -.1099E+02 -.2134E+01   .9999975 -.0020550 -.0008626
T 2733  7 .1010210E+07   1000397E-02  .6520E+01  .3209E+01   .9999978 -.0008928  .0018875
T 2734  7 .1016817E+07   1000690E-02  .5826E+02  .1158E+01   .9999844  .0054498 -.0012560
T 2735  7 .1011212E+07   1000581E-02  .3683E+02  .1125E+02   .9999581  .0090868  .0011418
T 2736  7 .1008185E+07   1000703E-02 -.1487E+03 -.2822E+03   .9991549 -.0194897 -.0361892
T 2737  7 .1010961E+07   1000209E-02 -.5675E+02  .1134E+01   .9998861 -.0149933  .0017568
T 2738  7 .1010231E+07   1000147E-02  .3896E+01 -.1863E+02   .9999649  .0069798 -.0046368
T 2739  7 .1018761E+07   1000537E-02 -.1878E+01 -.3960E+02   .9999859 -.0012027 -.0051636
T 2740  7 .1011726E+07   1000124E-02  .1133E+02 -.2058E+02   .9999867  .0040420 -.0031919
T 2741  7 .1013032E+07   1000383E-02  .2336E+02  .1589E+02   .9999781  .0054094  .0038170
T 2742  7 .1009188E+07   1000704E-02 -.6722E+02  .9471E+01   .9999247 -.0122611  .0005672
T 2743  7 .1010336E+07   1000654E-02  .1300E+02 -.2022E+01   .9999876  .0042307 -.0026349
T 2744  7 .1012539E+07   1000503E-02 -.1077E+02 -.6441E+01   .9999923 -.0010230 -.0037980
T 2745  7 .1018040E+07   1000532E-02  .3950E+02 -.4801E+02   .9997669  .0214202 -.0026970
T 2746  7 .1010952E+07   1000778E-02  .1391E+03  .1282E+03   .9993758  .0269240  .0228732
T 2747  7 .1012382E+07   1000515E-02  .4157E+02  .3235E+02   .9999593  .0075712  .0049048
T 2748  7 .1013578E+07   1000762E-02  .2576E+02  .1685E+02   .9999703  .0058849  .0049820
T 2749  7 .1010120E+07   1000285E-02  .6533E+01 -.4216E+02   .9999857 -.0007997 -.0052872
T 2750  7 .1011543E+07   1000560E-02  .2518E+02  .2134E+02   .9999987 -.0000762  .0016114
T 2751  7 .1006619E+07   1000291E-02 -.2441E+02 -.4083E+02   .9998522 -.0080248 -.0152059
T 2752  7 .1008792E+07   1000810E-02  .6082E+01  .1007E+02   .9999849  .0021836  .0050455
T 2753  7 .1011660E+07   1000618E-02  .3791E+02 -.9723E+01   .9999460  .0098476 -.0033066
T 2754  7 .1011364E+07   1000479E-02  .1694E+02 -.3706E+02   .9997410  .0155689 -.0165995
T 2755  7 .1012530E+07   1000501E-02 -.1878E+02 -.2575E+02   .9999688 -.0065178 -.0044678
T 2756  7 .1008364E+07   1000061E-02 -.6694E+01  .9917E+01   .9999965 -.0006396  .0025856
T 2757  7 .1015654E+07   1000706E-02 -.9301E+01  .2156E+02   .9999948 -.0014678  .0028740
T 2758  7 .1013591E+07   1000396E-02 -.3150E+01 -.3051E+02   .9999728 -.0027381 -.0068440
T 2759  7 .1007893E+07   1000532E-02  .1011E+02  .2056E+02   .9999775 -.0001972  .0067041
T 2760  7 .1008746E+07   1000095E-02 -.4954E+02  .3866E+02   .9998189 -.0144889  .0123410
T 2761  7 .1004417E+07   1000804E-02 -.6798E+00 -.3197E+01   .9999969 -.0017918  .0017155
T 2762  7 .1016344E+07   1000243E-02 -.6651E+01  .3841E+01   .9999886  .0027002  .0039430
T 2763  7 .1009011E+07   1000107E-02  .2268E+02 -.6410E+01   .9999825  .0054005 -.0024218
T 2764  7 .1006159E+07   1000328E-02 -.4925E+02  .3939E+02   .9999198 -.0110644  .0061690
T 2765  7 .1014114E+07   1000066E-02 -.1567E+02 -.1998E+02   .9999810 -.0038172 -.0048379
T 2766  7 .1014228E+07   1000453E-02 -.1036E+02 -.2145E+02   .9999877 -.0032760 -.0037143
T 2767  7 .1007208E+07   1000423E-02  .3103E+01 -.1422E+02   .9999936 -.0017912 -.0031120
T 2768  7 .1007789E+07   1000774E-02  .1109E+01 -.8669E+01   .9999900  .0044050  .0007116
T 2769  7 .1010573E+07   1000545E-02 -.1371E+02 -.6016E+02   .9999193 -.0012683 -.0126400
T 2770  7 .1009913E+07   1000148E-02  .1253E+02  .9336E+01   .9999963  .0026320  .0006839
T 2771  7 .1008664E+07   1000749E-02 -.2175E+01 -.1650E+02   .9999959 -.0026980 -.0009232
T 2772  7 .1009021E+07   1000719E-02  .1219E+02 -.2734E+02   .9999741  .0040383 -.0059496
T 2773  7 .1017838E+07   1000002E-02 -.5201E+01 -.5541E+01   .9999932 -.0036111 -.0007298
T 2774  7 .1011847E+07   1000746E-02  .2252E+02 -.4874E+01   .9999930  .0037453  .0001221
T 2775  7 .1016903E+07   1000572E-02 -.1423E+02 -.9266E+01   .9999949  .0014424 -.0028629
T 2776  7 .1012293E+07   1000407E-02  .3665E+01  .6802E+01   .9999976 -.0021872  .0001734
T 2777  7 .1002616E+07   1000717E-02 -.1250E+02  .5981E+01   .9999901 -.0001175  .0044429
T 2778  7 .1013057E+07   1000793E-02  .1790E+02 -.2412E+02   .9999880  .0043394 -.0022899
T 2779  7 .1013523E+07   1000394E-02 -.6453E+02  .1400E+02   .9999293 -.0106425  .0052959
T 2780  7 .1005679E+07   1000394E-02 -.1808E+02 -.1170E+02   .9999964 -.0026772 -.0000659
T 2781  7 .1008121E+07   1000521E-02 -.3067E+02 -.1006E+02   .9999763 -.0048421 -.0048987
T 2782  7 .9981815E+06   1000198E-02  .1731E+03  .2370E+03   .9944477  .0629188  .0843500
T 2783  7 .1011807E+07   1000590E-02 -.6672E+02 -.4319E+02   .9997292 -.0192952 -.0130118
T 2784  7 .1012848E+07   1000344E-02 -.1484E+01  .1789E+02   .9999900 -.0009768  .0043600
T 2785  7 .1008909E+07   1000671E-02 -.6161E+01 -.3134E+02   .9999803 -.0002404 -.0062649
T 2786  7 .1011672E+07   1000215E-02  .5349E+01 -.1545E+02   .9999990 -.0004993  .0013298
T 2787  7 .1011464E+07   1000633E-02 -.8398E+02 -.5312E+02   .9999405 -.0094566 -.0054452
T 2788  7 .1008451E+07   1000286E-02 -.4131E+01 -.1286E+02   .9999694 -.0057948 -.0052474
T 2789  7 .1008157E+07   1000601E-02 -.6310E+01 -.9894E+01   .9999988 -.0013852  .0006298
T 2790  7 .1009772E+07   1000779E-02 -.1941E+01  .7827E+01   .9999996 -.0007862  .0003644
T 2791  7 .1012432E+07   1000159E-02 -.2155E+02  .2606E+01   .9999969 -.0022271 -.0011190
T 2792  7 .1011582E+07   1000633E-02  .1497E+02 -.7179E+01   .9999969  .0002729 -.0024841
T 2793  7 .1002713E+07   1000008E-02  .2198E+02 -.5981E+01   .9999939  .0027933 -.0020808
T 2794  7 .1002607E+07   1000181E-02 -.4975E+02  .8577E+00   .9985218 -.0539856  .0063008
T 2795  7 .1009559E+07   1000493E-02 -.2734E+01 -.1683E+02   .9999919  .0020071 -.0034852
T 2796  7 .1010412E+07   1000707E-02  .4735E+01  .1665E+02   .9999674 -.0010254  .0080138
T 2797  7 .1009970E+07   1000632E-02  .2637E+01 -.7699E+01   .9999893 -.0038955  .0024847
T 2798  7 .1011996E+07   1000031E-02  .1837E+02  .4013E+01   .9999957  .0027886  .0008785
T 2799  7 .1009085E+07   1000741E-02 -.2412E+01 -.7288E-01   .9999981 -.0001928  .0019651
T 2800  7 .1017786E+07   1000644E-02 -.1854E+02  .5840E+01   .9999947 -.0032498  .0003570
T 2801  7 .1016377E+07   1000652E-02 -.2106E+00 -.3535E+01   .9999666  .0081173  .0009184
T 2802  7 .1009899E+07   1000033E-02  .3004E+02  .3762E+01   .9999887  .0046155 -.0011268
T 2803  7 .1012621E+07   1000561E-02  .7898E+01 -.4785E+02   .9992851  .0191488 -.0325969
T 2804  7 .1009716E+07   1000531E-02 -.1538E+02 -.4860E+02   .9999808 -.0012675 -.0060646
T 2805  7 .1007340E+07   1000320E-02  .3302E+02 -.3367E+02   .9999179  .0116402 -.0053564
T 2806  7 .1013488E+07   1000249E-02 -.2685E+01  .9088E+01   .9999977  .0002544  .0021312
T 2807  7 .1011769E+07   1000358E-02 -.9545E+01 -.1428E+02   .9999986  .0011186 -.0012739
T 2808  7 .1013141E+07   1000532E-02 -.5732E+01 -.1080E+02   .9999944  .0003833 -.0033270
T 2809  7 .1009462E+07   1000027E-02 -.9896E+02  .2785E+02   .9998050 -.0193117  .0041269
T 2810  7 .1013564E+07   1000001E-02 -.3725E+02  .1089E+00   .9999808 -.0061922 -.0002514
T 2811  7 .1016891E+07   1000645E-02  .5976E+01 -.1703E+02   .9999999 -.0001684  .0004315
T 2812  7 .1015093E+07   1000115E-02  .2171E+02  .1910E+01   .9999917  .0031306  .0026262
T 2813  7 .1011928E+07   1000757E-02 -.1238E+02 -.3046E+00   .9999956 -.0025478 -.0015084
T 2814  7 .1017121E+07   1000374E-02 -.7887E+01 -.2052E+02   .9999903 -.0021083 -.0038575
T 2815  7 .1016776E+07   1000530E-02 -.1263E+02 -.2767E+01   .9999940 -.0029964  .0017442
T 2816  7 .1016065E+07   1000535E-02 -.6741E+01  .1590E+02   .9999948  .0020239  .0025203
T 2817  7 .1004677E+07   1000151E-02  .2563E+02 -.1539E+02   .9999172  .0102177 -.0078279
T 2818  7 .1015151E+07   1000015E-02  .2403E+02 -.1269E+02   .9999763  .0068760 -.0002044
T 2819  7 .1004200E+07   1000148E-02  .4466E+01 -.3546E+00   .9999777  .0046223  .0048213
T 2820  7 .1010405E+07   1000634E-02  .4011E+01  .7825E+01   .9999743  .0068614  .0020658
T 2821  7 .1014998E+07   1000475E-02 -.1275E+02  .9401E+01   .9999667 -.0080796  .0011868
T 2822  7 .1008974E+07   1000512E-02  .2471E+01 -.3074E+02   .9999878 -.0027129 -.0041307
T 2823  7 .1017024E+07   1000331E-02  .1251E+02 -.8773E+01   .9999875  .0034888 -.0035855
T 2824  7 .1013516E+07   1000668E-02  .1221E+02  .9954E+00   .9999991  .0008577  .0010719
T 2825  7 .1008782E+07   1000790E-02  .4203E+01  .2628E+02   .9999804 -.0004502  .0062373
T 2826  7 .1012080E+07   1000680E-02  .1029E+02  .7686E+01   .9999878  .0043993  .0022393
T 2827  7 .1015442E+07   1000506E-02  .3747E+01 -.1319E+02   .9999951  .0015616 -.0026995
T 2828  7 .1007924E+07   1000082E-02 -.5230E+02 -.5098E+01   .9998464 -.0169456 -.0044655
T 2829  7 .1014765E+07   1000780E-02 -.1772E+02  .3389E+01   .9999992 -.0005416 -.0011835
T 2830  7 .1014787E+07   1000198E-02  .1308E+02 -.1427E+02   .9999519 -.0064384  .0073935
T 2831  7 .1000830E+07   1000239E-02 -.4887E+01  .2752E+01   .9999999 -.0002247 -.0003440
T 2832  7 .1004761E+07   1000589E-02 -.1189E+03  .2895E+03   .9987380 -.0195655  .0462565
T 2833  7 .1009523E+07   1000670E-02  .6452E+02  .7559E+02   .9998494  .0127372  .0117891
T 2834  7 .1009967E+07   1000626E-02 -.1488E+02  .1644E+02   .9999872 -.0028885  .0041552
T 2835  7 .1011302E+07   1000204E-02 -.7833E+01 -.7160E+01   .9999986 -.0014247  .0009215
T 2836  7 .1007507E+07   1000646E-02  .1388E+00 -.1892E+02   .9999999 -.0000545 -.0003348
T 2837  7 .1008701E+07   1000420E-02  .1134E+02 -.4068E+01   .9999964  .0008863  .0025244
T 2838  7 .1003983E+07   1000714E-02 -.5941E+01 -.3551E+02   .9997481  .0210780  .0077088
T 2839  7 .1004130E+07   1000434E-02  .1537E+02  .1158E+02   .9999943  .0033510  .0004248
T 2840  7 .1015608E+07   1000465E-02  .5887E+01  .8434E+01   .9999995  .0009604  .0002988
T 2841  7 .1007468E+07   1000773E-02 -.3718E+02  .1119E+02   .9999866 -.0036974  .0036343
T 2842  7 .1018155E+07   1000631E-02  .1352E+02 -.4501E+01   .9999718 -.0017466 -.0073067
T 2843  7 .1007580E+07   1000691E-02 -.2996E+02  .1345E+02   .9999481 -.0092433  .0042810
T 2844  7 .1006650E+07   1000268E-02 -.7227E+00  .2423E+02   .9998699  .0027819  .0158895
T 2845  7 .1018556E+07   1000076E-02 -.2549E+01 -.1022E+02   .9999972  .0018060 -.0014994
T 2846  7 .1016030E+07   1000450E-02 -.1759E+02 -.1338E+02   .9999875  .0025039 -.0043255
T 2847  7 .1007123E+07   1000146E-02  .2187E+02  .1977E+02   .9999928  .0011185  .0036179
T 2848  7 .1016426E+07   1000078E-02  .1114E+03 -.6366E+00   .9995705  .0292959  .0007169
T 2849  7 .1012730E+07   1000593E-02  .1121E+02  .1199E+02   .9999978  .0004802  .0020280
T 2850  7 .1005821E+07   1000509E-02  .1584E+02  .1844E+02   .9999872  .0008769  .0049853
T 2851  7 .1006307E+07   1000317E-02 -.4861E+01  .2471E+02   .9999646  .0010871  .0083493
T 2852  7 .1008359E+07   1000662E-02  .1721E+02 -.4576E+01   .9999920  .0029371  .0027032
T 2853  7 .1009005E+07   1000625E-02  .3217E+02 -.8651E+01   .9999711  .0075942  .0004026
T 2854  7 .1009316E+07   1000623E-02 -.1994E+02  .1865E+02   .9998988 -.0140213  .0024210
T 2855  7 .1013346E+07   1000642E-02 -.1388E+02 -.1301E+02   .9999901 -.0038049 -.0023146
T 2856  7 .1008494E+07   1000452E-02 -.4297E+01  .5002E+01   .9999987 -.0006674 -.0014988
T 2857  7 .1014023E+07   1000778E-02 -.1399E+02 -.1171E+02   .9999982 -.0001547 -.0018718
T 2858  7 .1015428E+07   1000623E-02 -.2169E+01  .2680E+02   .9999649 -.0060328  .0058205
T 2859  7 .1017923E+07   1000552E-02 -.1977E+02 -.1022E+02   .9999862 -.0042711 -.0030498
T 2860  7 .1017696E+07   1000460E-02 -.1340E+02 -.1483E+01   .9999917 -.0040319  .0005034
T 2861  7 .1014346E+07   1000589E-02 -.5839E+00  .1980E+01   .9999967 -.0003562  .0025305
T 2862  7 .1011966E+07   1000396E-02 -.2587E+01 -.1526E+02   .9999814 -.0045318 -.0040764
T 2863  7 .1012308E+07   1000193E-02  .1744E+02 -.5959E+02   .9999483  .0014866 -.0100611
T 2864  7 .1004380E+07   1000652E-02  .2186E+02 -.2279E+02   .9998997  .0124426 -.0067597
T 2865  7 .1007164E+07   1000323E-02  .1796E+02  .1776E+01   .9999869  .0050433  .0008974
T 2866  7 .1016173E+07   1000454E-02  .7218E+02 -.2144E+02   .9998884  .0143654 -.0041082
T 2867  7 .1009550E+07   1000539E-02  .4731E+01 -.5564E+01   .9999131 -.0075739 -.0107934
T 2868  7 .1020682E+07   1000144E-02 -.7166E+01 -.2402E+00   .9999984  .0015778 -.0008350
T 2869  7 .1009570E+07   1000760E-02 -.1097E+02  .1438E+03   .9999122  .0000542  .0132489
T 2870  7 .1010102E+07   1000515E-02  .2689E+02  .7186E+02   .9999637  .0056888  .0063493
T 2871  7 .1010612E+07   1000536E-02  .7441E+01 -.2861E+01   .9999983  .0009467  .0016066
T 2872  7 .1011224E+07   1000690E-02  .7052E+01 -.1913E+02   .9999646  .0064688 -.0053864
T 2873  7 .1016740E+07   1000223E-02  .2465E+02  .4695E+02   .9999564  .0034807  .0086637
T 2874  7 .1005547E+07   1000048E-02 -.1161E+02 -.1010E+03   .9998876 -.0028973 -.0147097
T 2875  7 .1014720E+07   1000751E-02 -.1470E+01  .2224E+02   .9999839  .0002816  .0056704
T 2876  7 .1011453E+07   1000716E-02 -.8452E+01  .4795E+02   .9999430 -.0041694  .0098250
T 2877  7 .1011383E+07   1000215E-02  .8147E+01  .9720E+00   .9999960  .0026133  .0011014
T 2878  7 .1002531E+07   1000566E-02  .2595E+02 -.1253E+02   .9999779  .0062625 -.0022383
T 2879  7 .1017002E+07   1000801E-02 -.2162E+02 -.5110E+01   .9999409 -.0100708  .0041029
T 2880  7 .1004905E+07   1000306E-02  .2123E+02 -.4806E+01   .9999882  .0034029 -.0034766
T 2881  7 .1014967E+07   1000374E-02  .9278E+00  .3061E+02   .9999751  .0008770  .0070032
T 2882  7 .1015918E+07   1000763E-02 -.1957E+02 -.1869E+02   .9999771 -.0065402  .0017379
T 2883  7 .1008414E+07   1000017E-02 -.2927E+02  .4450E+02   .9999612 -.0053151  .0070254
T 2884  7 .1004902E+07   1000411E-02 -.2068E+02 -.5769E+01   .9999780 -.0054263 -.0038109
T 2885  7 .1009988E+07   1000773E-02  .1184E+02  .3420E+02   .9999747  .0015652  .0069459
T 2886  7 .1007064E+07   1000480E-02  .1551E+02  .2914E+02   .9999863  .0024598  .0046214
T 2887  7 .1010265E+07   1000361E-02 -.2052E+02 -.2683E+02   .9999837 -.0033849 -.0045887
T 2888  7 .1014813E+07   1000743E-02 -.2028E+02 -.1725E+02   .9999830 -.0051173 -.0027840
T 2889  7 .1020410E+07   1000136E-02 -.5794E+01 -.1514E+02   .9999910 -.0020580 -.0037040
T 2890  7 .1009754E+07   1000792E-02 -.1400E+02 -.2782E+02   .9999977  .0002719 -.0021327
T 2891  7 .1002775E+07   1000789E-02 -.1695E+02  .5588E+01   .9999825 -.0054798  .0022131
T 2892  7 .1009201E+07   1000230E-02 -.1077E+02  .4589E+01   .9999926 -.0037236  .0009529
T 2893  7 .1008828E+07   1000721E-02  .9795E+02 -.9146E+02   .9997369  .0158465 -.0165838
T 2894  7 .1016445E+07   1000358E-02 -.3791E+01 -.1521E+02   .9999492 -.0080334 -.0060901
T 2895  7 .1008438E+07   1000352E-02 -.8161E+01  .3160E+01   .9999991 -.0013005  .0003460
T 2896  7 .1014645E+07   1000808E-02  .2179E+01  .1284E+02   .9999998  .0004423 -.0003348
T 2897  7 .1008604E+07   1000565E-02 -.1717E+02  .1002E+02   .9999846 -.0055427 -.0001911
T 2898  7 .1006308E+07   1000722E-02  .2561E+01 -.1779E+02   .9999884 -.0007389 -.0047517
T 2899  7 .1013413E+07   1000510E-02  .2113E+02 -.1083E+02   .9999525  .0080213 -.0055297
T 2900  7 .1007412E+07   1000779E-02 -.3044E+02 -.1342E+02   .9999858 -.0051963 -.0011853
T 2901  7 .1009438E+07   1000271E-02 -.1817E+02  .3060E+02   .9999988  .0010438  .0011762
T 2902  7 .1009182E+07   1000484E-02 -.1238E+02 -.6424E+01   .9999864 -.0029113 -.0043312
T 2903  7 .1011251E+07   1000445E-02  .2516E+02 -.4264E+02   .9999545  .0062721 -.0071846
T 2904  7 .1014561E+07   1000589E-02  .7476E+01  .6100E+01   .9999914 -.0027952  .0030492
T 2905  7 .1008897E+07   1000525E-02 -.2665E+02 -.3558E+03   .9982626  .0031605 -.0588375
T 2906  7 .1008754E+07   1000568E-02 -.1539E+02 -.1540E+02   .9999840 -.0051984 -.0022144
T 2907  7 .1017525E+07   1000568E-02 -.2959E+02  .2323E+01   .9999793 -.0063549  .0010471
T 2908  7 .1011023E+07   1000371E-02 -.3076E+02 -.4819E+02   .9999641 -.0030874 -.0078850
T 2909  7 .1017215E+07   1000324E-02 -.8847E+01  .2209E+02   .9999868 -.0000074  .0051383
T 2910  7 .1014404E+07   1000118E-02 -.6969E+01 -.2211E+00   .9999903  .0036294 -.0024872
T 2911  7 .1004697E+07   1000221E-02 -.7105E+01 -.1550E+02   .9999860 -.0031479 -.0042571
T 2912  7 .1009528E+07   1000170E-02  .1274E+02  .3741E+01   .9999792  .0061372 -.0019693
T 2913  7 .1012667E+07   1000470E-02 -.1288E+02 -.1065E+02   .9999879 -.0011421 -.0047785
T 2914  7 .1010841E+07   1000809E-02  .1233E+01  .2416E+02   .9999929  .0033199  .0017667
T 2915  7 .1018534E+07   1000562E-02 -.2709E+02 -.9182E+01   .9999747 -.0065155 -.0028488
T 2916  7 .1008406E+07   1000349E-02  .2148E+02 -.6575E+01   .9999657  .0081299 -.0015850
T 2917  7 .1006748E+07   1000326E-02 -.1111E+02 -.1021E+02   .9999957 -.0021068 -.0020525
T 2918  7 .1009861E+07   1000147E-02  .2618E+02 -.2397E+01   .9999696  .0077722  .0006450
T 2919  7 .1012748E+07   1000608E-02  .7892E+01  .4602E+01   .9999692  .0048719 -.0061612
T 2920  7 .1011578E+07   1000688E-02  .1324E+02 -.2527E+01   .9999921  .0038487 -.0009595
T 2921  7 .1018716E+07   1000769E-02 -.7322E+01  .1740E+00   .9999997  .0000859 -.0008131
T 2922  7 .1013513E+07   1000728E-02 -.2492E+02 -.1753E+02   .9999830 -.0030279 -.0049825
T 2923  7 .1006178E+07   1000195E-02  .5908E+01 -.4247E+02   .9998293  .0100782 -.0154851
T 2924  7 .1004208E+07   1000273E-02 -.1032E+02  .8375E+01   .9999675 -.0075459  .0028384
T 2925  7 .1015037E+07   1000697E-02  .2120E+02 -.3382E+02   .9999919  .0035014 -.0019612
T 2926  7 .1006856E+07   1000602E-02 -.1692E+02 -.1560E+01   .9998991 -.0135008 -.0044096
T 2927  7 .1014295E+07   1000775E-02 -.3067E+02 -.4036E+02   .9999550 -.0054251 -.0077816
T 2928  7 .1011381E+07   1000543E-02 -.8930E+01 -.1730E+02   .9999908 -.0039234 -.0017160
T 2929  7 .1014551E+07   1000606E-02 -.6110E+01  .2362E+02   .9999723  .0046926  .0057825
T 2930  7 .1007965E+07   1000681E-02  .9661E+01  .3852E+01   .9999983 -.0010626  .0015156
T 2931  7 .1016681E+07   1000551E-02  .7262E+00  .3331E+01   .9999853 -.0052451  .0013954
T 2932  7 .1009212E+07   1000402E-02  .9414E+01  .1152E+02   .9999864  .0028649  .0043687
T 2933  7 .1013509E+07   1000031E-02  .8125E+01  .1751E+02   .9999865 -.0000170  .0052043
T 2934  7 .1007785E+07   1000767E-02  .1887E+02  .3941E+02   .9999788  .0042357  .0049549
T 2935  7 .1006238E+07   1000031E-02  .2200E+00  .8208E+01   .9999954 -.0012596  .0027585
T 2936  7 .1009400E+07   1000165E-02  .2945E+02  .1548E+02   .9999528  .0077829  .0058088
T 2937  7 .1013292E+07   1000789E-02  .7836E+01  .1816E+02   .9999964  .0011444  .0024159
T 2938  7 .1003043E+07   1000528E-02 -.1036E+02 -.2326E+01   .9999937 -.0027347  .0022843
T 2939  7 .1012865E+07   1000354E-02  .2992E+02 -.6579E+01   .9999850  .0048588 -.0025386
T 2940  7 .1015761E+07   1000172E-02 -.1106E+02  .2924E+02   .9999680 -.0012814  .0078917
T 2941  7 .1010226E+07   1000595E-02  .1342E+02 -.3173E+01   .9999797  .0034815 -.0053341
T 2942  7 .1008661E+07   1000715E-02 -.1948E+02  .2726E+00   .9999879 -.0049234  .0000813
T 2943  7 .1006038E+07   1000482E-02  .1728E+02 -.3396E+01   .9999771  .0058594  .0033735
T 2944  7 .1005522E+07   1000391E-02  .1375E+02  .6843E+01   .9999881  .0017999  .0045345
T 2945  7 .1015213E+07   1000666E-02  .7892E+01  .2648E+01   .9999665  .0068939  .0044060
T 2946  7 .1010298E+07   1000477E-02 -.2803E+02 -.7212E+02   .9999092 -.0037371 -.0129460
T 2947  7 .1018917E+07   1000158E-02  .8159E+01 -.1714E+02   .9999987  .0005595 -.0015094
T 2948  7 .1006853E+07   1000598E-02  .2957E+02  .1544E+02   .9999812  .0052153  .0032257
T 2949  7 .1011918E+07   1000233E-02 -.1931E+02 -.1989E+02   .9999172 -.0100348 -.0080615
T 2950  7 .1009229E+07   1000593E-02  .1505E+02  .2427E+02   .9999435  .0025771  .0103081
T 2951  7 .1008079E+07   1000724E-02  .8490E+01  .6902E+01   .9999896 -.0037522 -.0025858
T 2952  7 .1013519E+07   1000195E-02  .5264E+00  .1899E+02   .9999934 -.0000715  .0036272
T 2953  7 .1010276E+07   1000526E-02  .4356E+02 -.1473E+01   .9999555  .0093511  .0012390
T 2954  7 .1010687E+07   1000495E-02  .1603E+01  .7788E+01   .9999913 -.0031588 -.0027407
T 2955  7 .1012802E+07   1000499E-02  .8118E+02  .1841E+03   .9996485  .0108536  .0241886
