============================== SRIM-2012.03 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  N(1.02 MeV) ==> Layer 1(  1 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   98  7 .1010886E+07   1000537E-02 -.6611E+02 -.2120E+02   .9999925 -.0027621 -.0027268
T   99  7 .1002030E+07   1000666E-02 -.2792E+02  .1943E+01   .9998572 -.0164097  .0040277
T  100  7 .1006052E+07   1000574E-02  .1464E+02  .1553E+02   .9999708  .0058332  .0049422
T  101  7 .1011381E+07   1000584E-02  .8865E+01  .1277E+02   .9999952  .0025976  .0016735
T  102  7 .1013169E+07   1000505E-02  .1958E+02  .1127E+02   .9999882  .0044941  .0018240
T  103  7 .1007184E+07   1000736E-02 -.3943E+02  .2942E+02   .9999895 -.0039101  .0023906
T  104  7 .1010681E+07   1000784E-02  .3308E+02 -.3835E+02   .9999508 -.0032614 -.0093673
T  105  7 .1013904E+07   1000542E-02  .6887E+02 -.1319E+01   .9996314  .0271462 -.0003853
T  106  7 .1006364E+07   1000515E-02 -.1244E+02 -.1412E+02   .9999167 -.0025747 -.0126516
T  107  7 .1015437E+07   1000460E-02  .1421E+02 -.2223E+02   .9999816  .0047728 -.0037487
T  108  7 .1015599E+07   1000496E-02 -.2578E+01  .1124E+02   .9999577 -.0054649 -.0073921
T  109  7 .1010471E+07   1000653E-02  .7290E+01 -.6210E+01   .9999947  .0027925 -.0016490
T  110  7 .1013364E+07   1000620E-02 -.2455E+02 -.7209E+02   .9997098 -.0074435 -.0229106
T  111  7 .1014351E+07   1000666E-02  .8731E+01  .8734E+01   .9999976  .0001754  .0021744
T  112  7 .1012099E+07   1000363E-02  .4365E+01 -.1344E+02   .9999957  .0028505 -.0007184
T  113  7 .1015086E+07   1000638E-02 -.5423E+01 -.1007E+02   .9999959  .0011277 -.0026264
T  114  7 .1018240E+07   1000061E-02  .1642E+01  .2234E+02   .9999999 -.0003148  .0003964
T  115  7 .1014449E+07   1000757E-02  .3104E+02 -.3963E+02   .9998448  .0108253 -.0139017
T  116  7 .1009064E+07   1000533E-02  .1012E+02  .1521E+02   .9999882  .0038406  .0029753
T  117  7 .1008251E+07   1000446E-02  .1333E+02 -.2693E+02   .9999760  .0026711 -.0063991
T  118  7 .1004023E+07   1000460E-02 -.1380E+02 -.2820E+02   .9999619 -.0024791 -.0083652
T  119  7 .1014742E+07   1000333E-02  .9353E+01 -.9298E+01   .9999964 -.0007800 -.0025650
T  120  7 .1005473E+07   1000717E-02  .1493E+00 -.2419E+02   .9999924 -.0002386 -.0038854
T  121  7 .1010656E+07   1000263E-02  .5721E+01 -.1008E+02   .9999979 -.0014558 -.0014271
T  122  7 .1013983E+07   1000417E-02  .2144E+02  .3140E+02   .9999626  .0004371  .0086409
T  123  7 .1008493E+07   1000478E-02  .6303E+01  .1177E+02   .9999971  .0018902 -.0015102
